CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0000000000000000AA;01/12/2015;1;0,186;R
ES0000000000000000AA;01/12/2015;2;0,183;R
ES0000000000000000AA;01/12/2015;3;0,173;R
ES0000000000000000AA;01/12/2015;4;0,127;R
ES0000000000000000AA;01/12/2015;5;0,118;R
ES0000000000000000AA;01/12/2015;6;0,139;R
ES0000000000000000AA;01/12/2015;7;0,107;R
ES0000000000000000AA;01/12/2015;8;0,151;R
ES0000000000000000AA;01/12/2015;9;0,146;R
ES0000000000000000AA;01/12/2015;10;0,247;R
ES0000000000000000AA;01/12/2015;11;0,167;R
ES0000000000000000AA;01/12/2015;12;0,202;R
ES0000000000000000AA;01/12/2015;13;0,184;R
ES0000000000000000AA;01/12/2015;14;0,134;R
ES0000000000000000AA;01/12/2015;15;0,332;R
ES0000000000000000AA;01/12/2015;16;0,321;R
ES0000000000000000AA;01/12/2015;17;0,361;R
ES0000000000000000AA;01/12/2015;18;0,38;R
ES0000000000000000AA;01/12/2015;19;0,337;R
ES0000000000000000AA;01/12/2015;20;0,349;R
ES0000000000000000AA;01/12/2015;21;0,275;R
ES0000000000000000AA;01/12/2015;22;0,371;R
ES0000000000000000AA;01/12/2015;23;0,308;R
ES0000000000000000AA;01/12/2015;24;0,221;R
ES0000000000000000AA;02/12/2015;1;0,162;R
ES0000000000000000AA;02/12/2015;2;0,214;R
ES0000000000000000AA;02/12/2015;3;0,167;R
ES0000000000000000AA;02/12/2015;4;0,169;R
ES0000000000000000AA;02/12/2015;5;0,109;R
ES0000000000000000AA;02/12/2015;6;0,161;R
ES0000000000000000AA;02/12/2015;7;0,109;R
ES0000000000000000AA;02/12/2015;8;0,154;R
ES0000000000000000AA;02/12/2015;9;0,163;R
ES0000000000000000AA;02/12/2015;10;0,207;R
ES0000000000000000AA;02/12/2015;11;0,132;R
ES0000000000000000AA;02/12/2015;12;0,122;R
ES0000000000000000AA;02/12/2015;13;0,147;R
ES0000000000000000AA;02/12/2015;14;0,112;R
ES0000000000000000AA;02/12/2015;15;0,2;R
ES0000000000000000AA;02/12/2015;16;0,179;R
ES0000000000000000AA;02/12/2015;17;0,254;R
ES0000000000000000AA;02/12/2015;18;0,188;R
ES0000000000000000AA;02/12/2015;19;0,223;R
ES0000000000000000AA;02/12/2015;20;0,177;R
ES0000000000000000AA;02/12/2015;21;0,236;R
ES0000000000000000AA;02/12/2015;22;0,231;R
ES0000000000000000AA;02/12/2015;23;0,177;R
ES0000000000000000AA;02/12/2015;24;0,202;R
ES0000000000000000AA;03/12/2015;1;0,164;R
ES0000000000000000AA;03/12/2015;2;0,21;R
ES0000000000000000AA;03/12/2015;3;0,136;R
ES0000000000000000AA;03/12/2015;4;0,156;R
ES0000000000000000AA;03/12/2015;5;0,111;R
ES0000000000000000AA;03/12/2015;6;0,153;R
ES0000000000000000AA;03/12/2015;7;0,109;R
ES0000000000000000AA;03/12/2015;8;0,154;R
ES0000000000000000AA;03/12/2015;9;0,175;R
ES0000000000000000AA;03/12/2015;10;0,382;R
ES0000000000000000AA;03/12/2015;11;0,295;R
ES0000000000000000AA;03/12/2015;12;0,352;R
ES0000000000000000AA;03/12/2015;13;0,237;R
ES0000000000000000AA;03/12/2015;14;0,324;R
ES0000000000000000AA;03/12/2015;15;0,252;R
ES0000000000000000AA;03/12/2015;16;0,308;R
ES0000000000000000AA;03/12/2015;17;0,164;R
ES0000000000000000AA;03/12/2015;18;0,255;R
ES0000000000000000AA;03/12/2015;19;0,175;R
ES0000000000000000AA;03/12/2015;20;0,206;R
ES0000000000000000AA;03/12/2015;21;0,19;R
ES0000000000000000AA;03/12/2015;22;0,254;R
ES0000000000000000AA;03/12/2015;23;0,171;R
ES0000000000000000AA;03/12/2015;24;0,217;R
ES0000000000000000AA;04/12/2015;1;0,165;R
ES0000000000000000AA;04/12/2015;2;0,212;R
ES0000000000000000AA;04/12/2015;3;0,165;R
ES0000000000000000AA;04/12/2015;4;0,171;R
ES0000000000000000AA;04/12/2015;5;0,118;R
ES0000000000000000AA;04/12/2015;6;0,12;R
ES0000000000000000AA;04/12/2015;7;0,147;R
ES0000000000000000AA;04/12/2015;8;0,167;R
ES0000000000000000AA;04/12/2015;9;0,297;R
ES0000000000000000AA;04/12/2015;10;0,279;R
ES0000000000000000AA;04/12/2015;11;0,357;R
ES0000000000000000AA;04/12/2015;12;0,287;R
ES0000000000000000AA;04/12/2015;13;0,164;R
ES0000000000000000AA;04/12/2015;14;0,116;R
ES0000000000000000AA;04/12/2015;15;0,176;R
ES0000000000000000AA;04/12/2015;16;0,217;R
ES0000000000000000AA;04/12/2015;17;0,18;R
ES0000000000000000AA;04/12/2015;18;0,202;R
ES0000000000000000AA;04/12/2015;19;0,226;R
ES0000000000000000AA;04/12/2015;20;0,205;R
ES0000000000000000AA;04/12/2015;21;0,145;R
ES0000000000000000AA;04/12/2015;22;0,221;R
ES0000000000000000AA;04/12/2015;23;0,195;R
ES0000000000000000AA;04/12/2015;24;0,217;R
ES0000000000000000AA;05/12/2015;1;0,166;R
ES0000000000000000AA;05/12/2015;2;0,212;R
ES0000000000000000AA;05/12/2015;3;0,134;R
ES0000000000000000AA;05/12/2015;4;0,162;R
ES0000000000000000AA;05/12/2015;5;0,114;R
