Fecha;Hora;Gi;Ta;PFV
2015-1-1;1;0;12,9;0,00
2015-1-1;2;0;12,4;0,00
2015-1-1;3;0;11,9;0,00
2015-1-1;4;0;11,4;0,00
2015-1-1;5;0;10,9;0,00
2015-1-1;6;0;10,4;0,00
2015-1-1;7;0;9,9;0,00
2015-1-1;8;194;11,3;43,20
2015-1-1;9;498;13,4;104,28
2015-1-1;10;619;14,6;126,10
2015-1-1;11;824;15,8;160,68
2015-1-1;12;871;16,7;167,51
2015-1-1;13;632;17;126,82
2015-1-1;14;735;17,2;144,59
2015-1-1;15;528;16,8;108,06
2015-1-1;16;228;15,8;49,39
2015-1-1;17;0;15,2;0,00
2015-1-1;18;0;14,6;0,00
2015-1-1;19;0;14;0,00
2015-1-1;20;0;13,4;0,00
2015-1-1;21;0;12,8;0,00
2015-1-1;22;0;12,2;0,00
2015-1-1;23;0;11,6;0,00
2015-1-1;24;0;11,1;0,00
2015-1-2;1;0;10,4;0,00
2015-1-2;2;0;9,8;0,00
2015-1-2;3;0;9,2;0,00
2015-1-2;4;0;8,5;0,00
2015-1-2;5;0;7,9;0,00
2015-1-2;6;0;7,3;0,00
2015-1-2;7;0;6,6;0,00
2015-1-2;8;254;8,2;56,86
2015-1-2;9;570;10;119,95
2015-1-2;10;782;11,6;157,21
2015-1-2;11;945;13;182,97
2015-1-2;12;993;13,9;189,57
2015-1-2;13;914;14,4;176,62
2015-1-2;14;682;14,3;137,60
2015-1-2;15;539;13,7;111,89
2015-1-2;16;170;12,5;37,79
2015-1-2;17;0;12,1;0,00
2015-1-2;18;0;11,7;0,00
2015-1-2;19;0;11,4;0,00
2015-1-2;20;0;11;0,00
2015-1-2;21;0;10,6;0,00
2015-1-2;22;0;10,3;0,00
2015-1-2;23;0;9,9;0,00
2015-1-2;24;0;9,6;0,00
2015-1-3;1;0;9,3;0,00
2015-1-3;2;0;9;0,00
2015-1-3;3;0;8,8;0,00
2015-1-3;4;0;8,6;0,00
2015-1-3;5;0;8,3;0,00
2015-1-3;6;0;8,1;0,00
2015-1-3;7;0;7,8;0,00
2015-1-3;8;226;9,3;50,55
2015-1-3;9;551;11,2;115,62
2015-1-3;10;739;12,7;148,84
2015-1-3;11;880;14,1;171,42
2015-1-3;12;804;14,9;158,14
2015-1-3;13;884;15,5;170,74
2015-1-3;14;676;15,6;135,59
2015-1-3;15;554;15,1;113,87
2015-1-3;16;256;14,1;55,66
2015-1-3;17;0;13,5;0,00
2015-1-3;18;0;13;0,00
2015-1-3;19;0;12,5;0,00
2015-1-3;20;0;11,9;0,00
2015-1-3;21;0;11,4;0,00
2015-1-3;22;0;10,9;0,00
2015-1-3;23;0;10,3;0,00
2015-1-3;24;0;9,8;0,00
2015-1-4;1;0;9,2;0,00
2015-1-4;2;0;8,5;0,00
2015-1-4;3;0;7,9;0,00
2015-1-4;4;0;7,2;0,00
2015-1-4;5;0;6,6;0,00
2015-1-4;6;0;6;0,00
2015-1-4;7;0;5,3;0,00
2015-1-4;8;142;6,5;32,62
2015-1-4;9;520;8,4;111,27
2015-1-4;10;793;10,2;160,30
2015-1-4;11;903;11,5;177,67
2015-1-4;12;806;12,2;160,81
2015-1-4;13;880;12,8;172,65
2015-1-4;14;658;12,7;134,46
2015-1-4;15;484;12,2;102,22
2015-1-4;16;24;10,9;5,50
2015-1-4;17;0;10,5;0,00
2015-1-4;18;0;10,1;0,00
2015-1-4;19;0;9,7;0,00
2015-1-4;20;0;9,3;0,00
2015-1-4;21;0;8,9;0,00
2015-1-4;22;0;8,5;0,00
2015-1-4;23;0;8,1;0,00
2015-1-4;24;0;7,7;0,00
2015-1-5;1;0;7,3;0,00
2015-1-5;2;0;7;0,00
2015-1-5;3;0;6,7;0,00
2015-1-5;4;0;6,3;0,00
2015-1-5;5;0;6;0,00
2015-1-5;6;0;5,7;0,00
2015-1-5;7;0;5,4;0,00
2015-1-5;8;153;6,7;35,06
2015-1-5;9;501;8,4;107,55
2015-1-5;10;763;10,1;155,14
2015-1-5;11;864;11,5;171,21
2015-1-5;12;670;12;137,13
2015-1-5;13;611;12,2;126,23
2015-1-5;14;387;11,8;83,26
2015-1-5;15;458;11,5;97,51
2015-1-5;16;217;10,6;48,31
2015-1-5;17;0;10,2;0,00
2015-1-5;18;0;9,8;0,00
2015-1-5;19;0;9,4;0,00
2015-1-5;20;0;9;0,00
2015-1-5;21;0;8,6;0,00
2015-1-5;22;0;8,2;0,00
2015-1-5;23;0;7,8;0,00
2015-1-5;24;0;7,4;0,00
2015-1-6;1;0;7;0,00
2015-1-6;2;0;6,6;0,00
2015-1-6;3;0;6,2;0,00
2015-1-6;4;0;5,8;0,00
2015-1-6;5;0;5,3;0,00
2015-1-6;6;0;4,9;0,00
2015-1-6;7;0;4,5;0,00
2015-1-6;8;178;5,9;40,78
2015-1-6;9;404;7,4;88,58
2015-1-6;10;758;9,2;155,00
2015-1-6;11;910;10,6;179,69
2015-1-6;12;917;11,6;179,86
2015-1-6;13;678;11,8;138,71
2015-1-6;14;727;11,9;147,37
2015-1-6;15;457;11,3;97,41
2015-1-6;16;148;10,2;33,38
2015-1-6;17;0;9,8;0,00
2015-1-6;18;0;9,5;0,00
2015-1-6;19;0;9,1;0,00
2015-1-6;20;0;8,8;0,00
2015-1-6;21;0;8,4;0,00
2015-1-6;22;0;8;0,00
2015-1-6;23;0;7,7;0,00
2015-1-6;24;0;7,3;0,00
2015-1-7;1;0;7;0,00
2015-1-7;2;0;6,6;0,00
2015-1-7;3;0;6,3;0,00
2015-1-7;4;0;6;0,00
2015-1-7;5;0;5,7;0,00
2015-1-7;6;0;5,3;0,00
2015-1-7;7;0;5;0,00
2015-1-7;8;165;6,3;37,80
2015-1-7;9;335;7,6;74,22
2015-1-7;10;683;9,4;141,37
2015-1-7;11;851;10,8;169,68
2015-1-7;12;754;11,6;152,34
2015-1-7;13;830;12,2;164,88
2015-1-7;14;584;12,2;121,22
2015-1-7;15;509;11,8;107,26
2015-1-7;16;228;10,8;50,61
2015-1-7;17;0;10,3;0,00
2015-1-7;18;0;9,9;0,00
2015-1-7;19;0;9,4;0,00
2015-1-7;20;0;9;0,00
2015-1-7;21;0;8,5;0,00
2015-1-7;22;0;8;0,00
2015-1-7;23;0;7,6;0,00
2015-1-7;24;0;7,1;0,00
2015-1-8;1;0;6,6;0,00
2015-1-8;2;0;6,1;0,00
2015-1-8;3;0;5,7;0,00
2015-1-8;4;0;5,2;0,00
2015-1-8;5;0;4,7;0,00
2015-1-8;6;0;4,2;0,00
2015-1-8;7;0;3,7;0,00
2015-1-8;8;150;4,9;34,67
2015-1-8;9;417;6,5;91,64
2015-1-8;10;725;8,3;149,82
2015-1-8;11;663;9,3;137,79
2015-1-8;12;869;10,3;173,17
2015-1-8;13;888;10,9;175,77
2015-1-8;14;721;11;147,01
2015-1-8;15;439;10,4;94,28
2015-1-8;16;213;9,4;47,72
2015-1-8;17;0;9;0,00
2015-1-8;18;0;8,5;0,00
2015-1-8;19;0;8,1;0,00
2015-1-8;20;0;7,7;0,00
2015-1-8;21;0;7,2;0,00
2015-1-8;22;0;6,8;0,00
2015-1-8;23;0;6,4;0,00
2015-1-8;24;0;5,9;0,00
2015-1-9;1;0;5,5;0,00
2015-1-9;2;0;5,1;0,00
2015-1-9;3;0;4,7;0,00
2015-1-9;4;0;4,3;0,00
2015-1-9;5;0;3,9;0,00
2015-1-9;6;0;3,5;0,00
2015-1-9;7;0;3;0,00
2015-1-9;8;103;4,1;24,07
2015-1-9;9;498;6;108,24
2015-1-9;10;747;7,7;154,25
2015-1-9;11;873;8,9;175,15
2015-1-9;12;934;9,9;184,32
2015-1-9;13;835;10,3;167,42
2015-1-9;14;587;10,2;123,04
2015-1-9;15;318;9,5;70,00
2015-1-9;16;26;8,4;6,03
2015-1-9;17;0;8;0,00
2015-1-9;18;0;7,7;0,00
2015-1-9;19;0;7,4;0,00
2015-1-9;20;0;7;0,00
2015-1-9;21;0;6,7;0,00
2015-1-9;22;0;6,4;0,00
2015-1-9;23;0;6;0,00
2015-1-9;24;0;5,7;0,00
2015-1-10;1;0;5,4;0,00
2015-1-10;2;0;5;0,00
2015-1-10;3;0;4,7;0,00
2015-1-10;4;0;4,3;0,00
2015-1-10;5;0;4;0,00
2015-1-10;6;0;3,6;0,00
2015-1-10;7;0;3,3;0,00
2015-1-10;8;179;4,8;41,21
2015-1-10;9;533;6,6;114,83
2015-1-10;10;738;8,1;152,32
2015-1-10;11;884;9,4;176,53
2015-1-10;12;930;10,4;183,17
2015-1-10;13;873;10,8;173,37
2015-1-10;14;731;10,9;148,86
2015-1-10;15;460;10,2;98,54
2015-1-10;16;205;9,1;46,05
2015-1-10;17;0;8,8;0,00
2015-1-10;18;0;8,4;0,00
2015-1-10;19;0;8,1;0,00
2015-1-10;20;0;7,7;0,00
2015-1-10;21;0;7,4;0,00
2015-1-10;22;0;7,1;0,00
2015-1-10;23;0;6,7;0,00
2015-1-10;24;0;6,4;0,00
2015-1-11;1;0;6;0,00
2015-1-11;2;0;5,7;0,00
2015-1-11;3;0;5,4;0,00
2015-1-11;4;0;5,1;0,00
2015-1-11;5;0;4,8;0,00
2015-1-11;6;0;4,5;0,00
2015-1-11;7;0;4,2;0,00
2015-1-11;8;114;5,4;26,44
2015-1-11;9;386;7;85,05
2015-1-11;10;653;8,7;136,37
2015-1-11;11;800;10,1;161,59
2015-1-11;12;648;10,7;134,05
2015-1-11;13;832;11,4;165,93
2015-1-11;14;586;11,5;122,04
2015-1-11;15;518;11,1;109,38
2015-1-11;16;232;10,2;51,62
2015-1-11;17;0;9,6;0,00
2015-1-11;18;0;9;0,00
2015-1-11;19;0;8,4;0,00
2015-1-11;20;0;7,8;0,00
2015-1-11;21;0;7,2;0,00
2015-1-11;22;0;6,6;0,00
2015-1-11;23;0;6;0,00
2015-1-11;24;0;5,4;0,00
2015-1-12;1;0;4,7;0,00
2015-1-12;2;0;3,8;0,00
2015-1-12;3;0;3;0,00
2015-1-12;4;0;2,2;0,00
2015-1-12;5;0;1,4;0,00
2015-1-12;6;0;0,6;0,00
2015-1-12;7;0;-0,2;0,00
2015-1-12;8;191;1;44,67
2015-1-12;9;505;2,5;111,54
2015-1-12;10;683;3,7;145,56
2015-1-12;11;629;4,4;134,81
2015-1-12;12;877;5,2;179,32
2015-1-12;13;824;5,5;169,80
2015-1-12;14;738;5,6;154,30
2015-1-12;15;523;5,1;113,71
2015-1-12;16;239;4,1;54,68
2015-1-12;17;0;3,7;0,00
2015-1-12;18;0;3,4;0,00
2015-1-12;19;0;3,1;0,00
2015-1-12;20;0;2,7;0,00
2015-1-12;21;0;2,4;0,00
2015-1-12;22;0;2;0,00
2015-1-12;23;0;1,7;0,00
2015-1-12;24;0;1,3;0,00
2015-1-13;1;0;1,3;0,00
2015-1-13;2;0;1,4;0,00
2015-1-13;3;0;1,4;0,00
2015-1-13;4;0;1,5;0,00
2015-1-13;5;0;1,5;0,00
2015-1-13;6;0;1,5;0,00
2015-1-13;7;0;1,6;0,00
2015-1-13;8;214;3,2;49,36
2015-1-13;9;516;4,9;112,43
2015-1-13;10;727;6,5;151,59
2015-1-13;11;836;7,7;169,93
2015-1-13;12;825;8,6;167,23
2015-1-13;13;831;9,1;167,81
2015-1-13;14;446;8,8;96,44
2015-1-13;15;448;8,4;97,03
2015-1-13;16;227;7,4;51,23
2015-1-13;17;0;7,1;0,00
2015-1-13;18;0;6,8;0,00
2015-1-13;19;0;6,4;0,00
2015-1-13;20;0;6,1;0,00
2015-1-13;21;0;5,8;0,00
2015-1-13;22;0;5,5;0,00
2015-1-13;23;0;5,2;0,00
2015-1-13;24;0;4,9;0,00
2015-1-14;1;0;4,4;0,00
2015-1-14;2;0;4;0,00
2015-1-14;3;0;3,6;0,00
2015-1-14;4;0;3,2;0,00
2015-1-14;5;0;2,8;0,00
2015-1-14;6;0;2,3;0,00
2015-1-14;7;0;1,9;0,00
2015-1-14;8;236;3,6;54,15
2015-1-14;9;512;5,3;111,41
2015-1-14;10;711;6,8;148,43
2015-1-14;11;750;7,8;154,71
2015-1-14;12;886;8,8;177,44
2015-1-14;13;825;9,3;166,61
2015-1-14;14;534;9,1;113,59
2015-1-14;15;395;8,6;86,23
2015-1-14;16;54;7,5;12,52
2015-1-14;17;0;7;0,00
2015-1-14;18;0;6,6;0,00
2015-1-14;19;0;6,1;0,00
2015-1-14;20;0;5,7;0,00
2015-1-14;21;0;5,2;0,00
2015-1-14;22;0;4,7;0,00
2015-1-14;23;0;4,3;0,00
2015-1-14;24;0;3,8;0,00
2015-1-15;1;0;3,3;0,00
2015-1-15;2;0;2,8;0,00
2015-1-15;3;0;2,3;0,00
2015-1-15;4;0;1,8;0,00
2015-1-15;5;0;1,3;0,00
2015-1-15;6;0;0,7;0,00
2015-1-15;7;0;0,2;0,00
2015-1-15;8;166;1,7;38,85
2015-1-15;9;323;2,9;73,33
2015-1-15;10;506;4,1;110,87
2015-1-15;11;720;5,4;151,16
2015-1-15;12;654;6,2;138,31
2015-1-15;13;836;6,8;170,74
2015-1-15;14;720;7;149,92
2015-1-15;15;449;6,5;98,15
2015-1-15;16;111;5,5;25,74
2015-1-15;17;0;5,2;0,00
2015-1-15;18;0;5;0,00
2015-1-15;19;0;4,7;0,00
2015-1-15;20;0;4,5;0,00
2015-1-15;21;0;4,2;0,00
2015-1-15;22;0;4;0,00
2015-1-15;23;0;3,8;0,00
2015-1-15;24;0;3,5;0,00
2015-1-16;1;0;3,4;0,00
2015-1-16;2;0;3,3;0,00
2015-1-16;3;0;3,2;0,00
2015-1-16;4;0;3;0,00
2015-1-16;5;0;2,9;0,00
2015-1-16;6;0;2,8;0,00
2015-1-16;7;0;2,7;0,00
2015-1-16;8;177;4,2;40,88
2015-1-16;9;349;5,5;77,93
2015-1-16;10;675;7,3;141,44
2015-1-16;11;846;8,6;170,84
2015-1-16;12;846;9,5;170,02
2015-1-16;13;629;9,8;131,16
2015-1-16;14;671;9,9;138,82
2015-1-16;15;396;9,4;86,09
2015-1-16;16;56;8,3;12,93
2015-1-16;17;0;8;0,00
2015-1-16;18;0;7,7;0,00
2015-1-16;19;0;7,5;0,00
2015-1-16;20;0;7,2;0,00
2015-1-16;21;0;6,9;0,00
2015-1-16;22;0;6,7;0,00
2015-1-16;23;0;6,4;0,00
2015-1-16;24;0;6,1;0,00
2015-1-17;1;0;5,9;0,00
2015-1-17;2;0;5,6;0,00
2015-1-17;3;0;5,3;0,00
2015-1-17;4;0;5;0,00
2015-1-17;5;0;4,7;0,00
2015-1-17;6;0;4,4;0,00
2015-1-17;7;0;4,1;0,00
2015-1-17;8;135;5,6;31,18
2015-1-17;9;470;7,4;101,93
2015-1-17;10;613;8,8;128,84
2015-1-17;11;759;10;154,52
2015-1-17;12;886;11;175,34
2015-1-17;13;726;11,4;147,58
2015-1-17;14;478;11,2;101,57
2015-1-17;15;433;10,7;92,95
2015-1-17;16;233;9,8;51,93
2015-1-17;17;0;9,5;0,00
2015-1-17;18;0;9,1;0,00
2015-1-17;19;0;8,8;0,00
2015-1-17;20;0;8,5;0,00
2015-1-17;21;0;8,2;0,00
2015-1-17;22;0;7,9;0,00
2015-1-17;23;0;7,6;0,00
2015-1-17;24;0;7,3;0,00
2015-1-18;1;0;7;0,00
2015-1-18;2;0;6,7;0,00
2015-1-18;3;0;6,5;0,00
2015-1-18;4;0;6,2;0,00
2015-1-18;5;0;5,9;0,00
2015-1-18;6;0;5,6;0,00
2015-1-18;7;0;5,3;0,00
2015-1-18;8;83;6,5;19,25
2015-1-18;9;256;7,9;57,37
2015-1-18;10;480;9,3;102,94
2015-1-18;11;779;10,8;157,36
2015-1-18;12;776;11,7;156,09
2015-1-18;13;823;12,4;163,52
2015-1-18;14;723;12,6;146,12
2015-1-18;15;463;12,1;98,19
2015-1-18;16;234;11,1;51,82
2015-1-18;17;0;10,8;0,00
2015-1-18;18;0;10,5;0,00
2015-1-18;19;0;10,2;0,00
2015-1-18;20;0;9,9;0,00
2015-1-18;21;0;9,6;0,00
2015-1-18;22;0;9,3;0,00
2015-1-18;23;0;8,9;0,00
2015-1-18;24;0;8,6;0,00
2015-1-19;1;0;8,3;0,00
2015-1-19;2;0;8;0,00
2015-1-19;3;0;7,7;0,00
2015-1-19;4;0;7,4;0,00
2015-1-19;5;0;7,1;0,00
2015-1-19;6;0;6,8;0,00
2015-1-19;7;0;6,5;0,00
2015-1-19;8;180;8,2;40,78
2015-1-19;9;417;9,8;90,16
2015-1-19;10;718;11,6;146,01
2015-1-19;11;612;12,5;126,21
2015-1-19;12;526;13;109,84
2015-1-19;13;562;13,3;116,44
2015-1-19;14;703;13,6;141,83
2015-1-19;15;405;13,1;86,30
2015-1-19;16;227;12,2;50,06
2015-1-19;17;0;11,8;0,00
2015-1-19;18;0;11,4;0,00
2015-1-19;19;0;10,9;0,00
2015-1-19;20;0;10,5;0,00
2015-1-19;21;0;10,1;0,00
2015-1-19;22;0;9,6;0,00
2015-1-19;23;0;9,2;0,00
2015-1-19;24;0;8,8;0,00
2015-1-20;1;0;8,3;0,00
2015-1-20;2;0;7,9;0,00
2015-1-20;3;0;7,4;0,00
2015-1-20;4;0;6,9;0,00
2015-1-20;5;0;6,5;0,00
2015-1-20;6;0;6;0,00
2015-1-20;7;0;5,5;0,00
2015-1-20;8;241;7,5;54,24
2015-1-20;9;457;9,2;98,44
2015-1-20;10;397;9,9;86,08
2015-1-20;11;827;11,4;165,08
2015-1-20;12;842;12,4;166,71
2015-1-20;13;883;13;172,95
2015-1-20;14;758;13,1;151,82
2015-1-20;15;510;12,6;107,01
2015-1-20;16;252;11,6;55,51
2015-1-20;17;0;11,3;0,00
2015-1-20;18;0;11;0,00
2015-1-20;19;0;10,7;0,00
2015-1-20;20;0;10,4;0,00
2015-1-20;21;0;10,1;0,00
2015-1-20;22;0;9,8;0,00
2015-1-20;23;0;9,6;0,00
2015-1-20;24;0;9,3;0,00
2015-1-21;1;0;9,1;0,00
2015-1-21;2;0;9;0,00
2015-1-21;3;0;8,8;0,00
2015-1-21;4;0;8,6;0,00
2015-1-21;5;0;8,5;0,00
2015-1-21;6;0;8,3;0,00
2015-1-21;7;0;8,1;0,00
2015-1-21;8;260;10,4;57,53
2015-1-21;9;508;12;106,96
2015-1-21;10;630;13,3;128,97
2015-1-21;11;795;14,6;156,88
2015-1-21;12;722;15,3;143,85
2015-1-21;13;518;15,5;106,92
2015-1-21;14;514;15,4;106,23
2015-1-21;15;495;15,1;102,80
2015-1-21;16;226;14,1;49,39
2015-1-21;17;0;13,7;0,00
2015-1-21;18;0;13,3;0,00
2015-1-21;19;0;12,9;0,00
2015-1-21;20;0;12,5;0,00
2015-1-21;21;0;12,1;0,00
2015-1-21;22;0;11,7;0,00
2015-1-21;23;0;11,2;0,00
2015-1-21;24;0;10,8;0,00
2015-1-22;1;0;10,5;0,00
2015-1-22;2;0;10,1;0,00
2015-1-22;3;0;9,7;0,00
2015-1-22;4;0;9,3;0,00
2015-1-22;5;0;9;0,00
2015-1-22;6;0;8,6;0,00
2015-1-22;7;0;8,2;0,00
2015-1-22;8;96;9,7;21,88
2015-1-22;9;301;11,1;65,93
2015-1-22;10;594;12,8;122,70
2015-1-22;11;820;14,3;161,34
2015-1-22;12;941;15,6;179,70
2015-1-22;13;906;16,3;173,48
2015-1-22;14;748;16,5;147,36
2015-1-22;15;567;16,1;115,67
2015-1-22;16;281;15;60,57
2015-1-22;17;0;14,4;0,00
2015-1-22;18;0;13,9;0,00
2015-1-22;19;0;13,3;0,00
2015-1-22;20;0;12,7;0,00
2015-1-22;21;0;12,1;0,00
2015-1-22;22;0;11,5;0,00
2015-1-22;23;0;10,9;0,00
2015-1-22;24;0;10,3;0,00
2015-1-23;1;0;9,6;0,00
2015-1-23;2;0;8,9;0,00
2015-1-23;3;0;8,2;0,00
2015-1-23;4;0;7,5;0,00
2015-1-23;5;0;6,9;0,00
2015-1-23;6;0;6,2;0,00
2015-1-23;7;0;5,5;0,00
2015-1-23;8;291;7,8;64,87
2015-1-23;9;583;9,7;122,60
2015-1-23;10;794;11,4;159,45
2015-1-23;11;904;12,8;176,57
2015-1-23;12;759;13,4;151,75
2015-1-23;13;907;14;175,88
2015-1-23;14;793;14,1;156,97
2015-1-23;15;535;13,5;111,25
2015-1-23;16;213;12,3;47,06
2015-1-23;17;0;11,6;0,00
2015-1-23;18;0;11;0,00
2015-1-23;19;0;10,3;0,00
2015-1-23;20;0;9,7;0,00
2015-1-23;21;0;9;0,00
2015-1-23;22;0;8,4;0,00
2015-1-23;23;0;7,7;0,00
