Fecha;Hora;Gi;Ta;PFV
2015-1-1;1;0;10,4;0
2015-1-1;2;0;10,2;0
2015-1-1;3;0;10;0
2015-1-1;4;0;9,8;0
2015-1-1;5;0;9,6;0
2015-1-1;6;0;9,4;0
2015-1-1;7;0;9,2;0
2015-1-1;8;0;9;0
2015-1-1;9;13;9,5;3,01
2015-1-1;10;37;9,9;8,51
2015-1-1;11;123;10,8;27,77
2015-1-1;12;192;11,6;42,71
2015-1-1;13;193;12,1;42,82
2015-1-1;14;41;11,7;9,34
2015-1-1;15;98;11,7;22,12
2015-1-1;16;46;11,5;10,48
2015-1-1;17;109;11,2;24,62
2015-1-1;18;0;10,9;0
2015-1-1;19;0;10,7;0
2015-1-1;20;0;10,4;0
2015-1-1;21;0;10,1;0
2015-1-1;22;0;9,8;0
2015-1-1;23;0;9,6;0
2015-1-1;24;0;9,3;0
2015-1-2;1;0;8,8;0
2015-1-2;2;0;8,4;0
2015-1-2;3;0;7,9;0
2015-1-2;4;0;7,5;0
2015-1-2;5;0;7;0
2015-1-2;6;0;6,5;0
2015-1-2;7;0;6,1;0
2015-1-2;8;0;5,6;0
2015-1-2;9;27;6,5;6,32
2015-1-2;10;77;7,4;17,8
2015-1-2;11;109;8;25
2015-1-2;12;358;9,3;78,36
2015-1-2;13;389;10,3;84,29
2015-1-2;14;244;10,6;54,08
2015-1-2;15;663;11,3;136,36
2015-1-2;16;502;11,4;106,13
2015-1-2;17;116;10,6;26,25
2015-1-2;18;0;10,2;0
2015-1-2;19;0;9,7;0
2015-1-2;20;0;9,3;0
2015-1-2;21;0;8,9;0
2015-1-2;22;0;8,4;0
2015-1-2;23;0;8;0
2015-1-2;24;0;7,6;0
2015-1-3;1;0;7,1;0
2015-1-3;2;0;6,7;0
2015-1-3;3;0;6,3;0
2015-1-3;4;0;5,8;0
2015-1-3;5;0;5,4;0
2015-1-3;6;0;5;0
2015-1-3;7;0;4,6;0
2015-1-3;8;0;4,1;0
2015-1-3;9;195;6,2;44,49
2015-1-3;10;422;8,2;91,89
2015-1-3;11;727;10,5;148,46
2015-1-3;12;911;12,5;178
2015-1-3;13;876;13,7;171,14
2015-1-3;14;929;14,5;178,91
2015-1-3;15;819;14,7;160,82
2015-1-3;16;592;14;121,57
2015-1-3;17;271;12,5;59,24
2015-1-3;18;0;11,8;0
2015-1-3;19;0;11,1;0
2015-1-3;20;0;10,4;0
2015-1-3;21;0;9,7;0
2015-1-3;22;0;9;0
2015-1-3;23;0;8,3;0
2015-1-3;24;0;7,6;0
2015-1-4;1;0;7;0
2015-1-4;2;0;6,3;0
2015-1-4;3;0;5,6;0
2015-1-4;4;0;4,9;0
2015-1-4;5;0;4,2;0
2015-1-4;6;0;3,5;0
2015-1-4;7;0;2,8;0
2015-1-4;8;0;2,1;0
2015-1-4;9;205;4,1;47,16
2015-1-4;10;314;5,5;70,52
2015-1-4;11;715;7,6;148,55
2015-1-4;12;835;9,1;168,5
2015-1-4;13;865;10,2;172,59
2015-1-4;14;845;10,8;168,67
2015-1-4;15;669;10,8;137,81
2015-1-4;16;377;10;81,98
2015-1-4;17;102;8,7;23,34
2015-1-4;18;0;8,2;0
2015-1-4;19;0;7,7;0
2015-1-4;20;0;7,2;0
2015-1-4;21;0;6,7;0
2015-1-4;22;0;6,2;0
2015-1-4;23;0;5,7;0
2015-1-4;24;0;5,3;0
2015-1-5;1;0;4,8;0
2015-1-5;2;0;4,4;0
2015-1-5;3;0;4;0
2015-1-5;4;0;3,5;0
