Fecha;Hora;Gi;Ta;PFV
2015-1-1;1;0;17,6;0,00
2015-1-1;2;0;17,4;0,00
2015-1-1;3;0;17,2;0,00
2015-1-1;4;0;17;0,00
2015-1-1;5;0;16,7;0,00
2015-1-1;6;0;16,5;0,00
2015-1-1;7;0;16,3;0,00
2015-1-1;8;0;16,1;0,00
2015-1-1;9;15;16,6;3,35
2015-1-1;10;31;16,9;6,90
2015-1-1;11;258;18,4;54,89
2015-1-1;12;246;19,3;52,20
2015-1-1;13;392;20,2;80,73
2015-1-1;14;191;20,3;40,71
2015-1-1;15;137;20,2;29,48
2015-1-1;16;232;20,3;49,10
2015-1-1;17;34;19,7;7,46
2015-1-1;18;0;19,2;0,00
2015-1-1;19;0;18,8;0,00
2015-1-1;20;0;18,3;0,00
2015-1-1;21;0;17,9;0,00
2015-1-1;22;0;17,4;0,00
2015-1-1;23;0;17;0,00
2015-1-1;24;0;16,5;0,00
2015-1-2;1;0;16;0,00
2015-1-2;2;0;15,4;0,00
2015-1-2;3;0;14,8;0,00
2015-1-2;4;0;14,2;0,00
2015-1-2;5;0;13,6;0,00
2015-1-2;6;0;13;0,00
2015-1-2;7;0;12,4;0,00
2015-1-2;8;0;11,9;0,00
2015-1-2;9;204;14,3;44,70
2015-1-2;10;511;16,4;105,12
2015-1-2;11;377;17,1;79,10
2015-1-2;12;466;17,9;95,87
2015-1-2;13;690;18,8;135,68
2015-1-2;14;539;19,1;108,76
2015-1-2;15;630;19,3;124,91
2015-1-2;16;557;19,2;111,97
2015-1-2;17;175;18,1;37,81
2015-1-2;18;0;17,6;0,00
2015-1-2;19;0;17,1;0,00
2015-1-2;20;0;16,7;0,00
2015-1-2;21;0;16,2;0,00
2015-1-2;22;0;15,7;0,00
2015-1-2;23;0;15,2;0,00
2015-1-2;24;0;14,7;0,00
2015-1-3;1;0;14,4;0,00
2015-1-3;2;0;14,1;0,00
2015-1-3;3;0;13,8;0,00
2015-1-3;4;0;13,5;0,00
2015-1-3;5;0;13,3;0,00
2015-1-3;6;0;13;0,00
2015-1-3;7;0;12,7;0,00
2015-1-3;8;0;12,4;0,00
2015-1-3;9;243;15;52,71
2015-1-3;10;496;16,6;102,19
2015-1-3;11;705;18,2;138,70
2015-1-3;12;852;19,7;161,70
2015-1-3;13;973;20,9;179,13
2015-1-3;14;969;21,8;177,60
2015-1-3;15;786;22;149,11
2015-1-3;16;405;21,1;82,82
2015-1-3;17;150;19,8;32,27
2015-1-3;18;0;19,2;0,00
2015-1-3;19;0;18,5;0,00
2015-1-3;20;0;17,9;0,00
2015-1-3;21;0;17,2;0,00
2015-1-3;22;0;16,6;0,00
2015-1-3;23;0;15,9;0,00
2015-1-3;24;0;15,3;0,00
2015-1-4;1;0;14,5;0,00
2015-1-4;2;0;13,6;0,00
2015-1-4;3;0;12,8;0,00
2015-1-4;4;0;12;0,00
2015-1-4;5;0;11,1;0,00
2015-1-4;6;0;10,3;0,00
2015-1-4;7;0;9,5;0,00
2015-1-4;8;0;8,6;0,00
2015-1-4;9;239;11,2;52,86
2015-1-4;10;596;13,6;122,56
2015-1-4;11;636;14,9;128,97
2015-1-4;12;936;16,6;177,91
2015-1-4;13;899;17,4;171,31
2015-1-4;14;833;17,8;160,37
2015-1-4;15;674;17,6;133,79
2015-1-4;16;565;17;114,75
2015-1-4;17;295;15,8;63,19
2015-1-4;18;0;15,3;0,00
2015-1-4;19;0;14,7;0,00
2015-1-4;20;0;14,1;0,00
2015-1-4;21;0;13,5;0,00
2015-1-4;22;0;12,9;0,00
2015-1-4;23;0;12,4;0,00
2015-1-4;24;0;11,8;0,00
2015-1-5;1;0;11,4;0,00
2015-1-5;2;0;11;0,00
2015-1-5;3;0;10,6;0,00
2015-1-5;4;0;10,2;0,00
2015-1-5;5;0;9,8;0,00
2015-1-5;6;0;9,4;0,00
2015-1-5;7;0;9,1;0,00
2015-1-5;8;0;8,7;0,00
2015-1-5;9;235;11,3;51,98
2015-1-5;10;313;12,3;68,01
2015-1-5;11;667;14,1;135,08
2015-1-5;12;761;15,5;150,38
2015-1-5;13;961;16,9;181,48
2015-1-5;14;814;17,4;157,62
2015-1-5;15;646;17,4;129,03
2015-1-5;16;409;16,7;85,52
2015-1-5;17;256;15,7;55,22
2015-1-5;18;0;15,1;0,00
2015-1-5;19;0;14,6;0,00
2015-1-5;20;0;14,1;0,00
2015-1-5;21;0;13,5;0,00
2015-1-5;22;0;13;0,00
