Fecha;Hora;Gi;Ta;PFV
2015-1-1;1;0;14,9;0,00
2015-1-1;2;0;14,7;0,00
2015-1-1;3;0;14,5;0,00
2015-1-1;4;0;14,2;0,00
2015-1-1;5;0;14;0,00
2015-1-1;6;0;13,8;0,00
2015-1-1;7;0;13,6;0,00
2015-1-1;8;0;13,3;0,00
2015-1-1;9;13;13,8;2,95
2015-1-1;10;86;14,7;19,17
2015-1-1;11;92;15,2;20,44
2015-1-1;12;55;15,2;12,29
2015-1-1;13;549;16,5;112,12
2015-1-1;14;400;17,2;83,55
2015-1-1;15;297;17,4;63,08
2015-1-1;16;60;16,9;13,29
2015-1-1;17;21;16,4;4,69
2015-1-1;18;0;16,1;0,00
2015-1-1;19;0;15,8;0,00
2015-1-1;20;0;15,4;0,00
2015-1-1;21;0;15,1;0,00
2015-1-1;22;0;14,8;0,00
2015-1-1;23;0;14,5;0,00
2015-1-1;24;0;14,2;0,00
2015-1-2;1;0;13,7;0,00
2015-1-2;2;0;13,3;0,00
2015-1-2;3;0;12,9;0,00
2015-1-2;4;0;12,5;0,00
2015-1-2;5;0;12,1;0,00
2015-1-2;6;0;11,7;0,00
2015-1-2;7;0;11,3;0,00
2015-1-2;8;0;10,9;0,00
2015-1-2;9;19;11,4;4,35
2015-1-2;10;246;12,4;54,03
2015-1-2;11;517;13,5;107,85
2015-1-2;12;443;14,2;93,27
2015-1-2;13;111;14;24,73
2015-1-2;14;60;13,5;13,51
2015-1-2;15;1;12,8;0,23
2015-1-2;16;60;12,6;13,57
2015-1-2;17;24;12,3;5,47
2015-1-2;18;0;12,2;0,00
2015-1-2;19;0;12,2;0,00
2015-1-2;20;0;12,1;0,00
2015-1-2;21;0;12,1;0,00
2015-1-2;22;0;12,1;0,00
2015-1-2;23;0;12;0,00
2015-1-2;24;0;12;0,00
2015-1-3;1;0;11,9;0,00
2015-1-3;2;0;11,9;0,00
2015-1-3;3;0;11,8;0,00
2015-1-3;4;0;11,8;0,00
2015-1-3;5;0;11,7;0,00
2015-1-3;6;0;11,7;0,00
2015-1-3;7;0;11,6;0,00
2015-1-3;8;0;11,6;0,00
2015-1-3;9;110;12,8;24,65
2015-1-3;10;104;13,5;23,25
2015-1-3;11;88;13,8;19,70
2015-1-3;12;72;13,9;16,15
2015-1-3;13;180;14,5;39,56
2015-1-3;14;164;14,8;36,08
2015-1-3;15;71;14,7;15,87
2015-1-3;16;286;14,9;61,63
2015-1-3;17;136;14,5;30,10
2015-1-3;18;0;14,2;0,00
2015-1-3;19;0;13,9;0,00
2015-1-3;20;0;13,6;0,00
2015-1-3;21;0;13,2;0,00
2015-1-3;22;0;12,9;0,00
2015-1-3;23;0;12,6;0,00
2015-1-3;24;0;12,3;0,00
2015-1-4;1;0;11,9;0,00
2015-1-4;2;0;11,5;0,00
2015-1-4;3;0;11,1;0,00
2015-1-4;4;0;10,8;0,00
2015-1-4;5;0;10,4;0,00
2015-1-4;6;0;10;0,00
2015-1-4;7;0;9,6;0,00
2015-1-4;8;0;9,3;0,00
2015-1-4;9;32;10;7,36
2015-1-4;10;175;11,1;39,13
2015-1-4;11;172;11,8;38,35
2015-1-4;12;221;12,5;48,71
2015-1-4;13;479;13,4;100,63
2015-1-4;14;232;13,6;50,77
2015-1-4;15;216;13,6;47,39
2015-1-4;16;179;13,4;39,55
2015-1-4;17;112;12,7;25,11
2015-1-4;18;0;12,3;0,00
2015-1-4;19;0;11,9;0,00
2015-1-4;20;0;11,5;0,00
2015-1-4;21;0;11,1;0,00
2015-1-4;22;0;10,6;0,00
2015-1-4;23;0;10,2;0,00
2015-1-4;24;0;9,8;0,00
2015-1-5;1;0;9,4;0,00
2015-1-5;2;0;9;0,00
2015-1-5;3;0;8,5;0,00
2015-1-5;4;0;8,1;0,00
2015-1-5;5;0;7,7;0,00
2015-1-5;6;0;7,2;0,00
2015-1-5;7;0;6,8;0,00
2015-1-5;8;0;6,4;0,00
2015-1-5;9;52;7,1;12,08
2015-1-5;10;457;9,1;98,49
2015-1-5;11;616;10,6;128,21
2015-1-5;12;851;12,2;168,40
2015-1-5;13;872;13,2;170,95
2015-1-5;14;809;13,7;160,02
2015-1-5;15;641;13,7;130,69
2015-1-5;16;459;13,1;96,91
2015-1-5;17;169;12;37,66
2015-1-5;18;0;11,7;0,00
2015-1-5;19;0;11,3;0,00
2015-1-5;20;0;10,9;0,00
2015-1-5;21;0;10,6;0,00
2015-1-5;22;0;10,2;0,00
2015-1-5;23;0;9,8;0,00
2015-1-5;24;0;9,5;0,00
2015-1-6;1;0;9,1;0,00
2015-1-6;2;0;8,7;0,00
2015-1-6;3;0;8,3;0,00
2015-1-6;4;0;7,9;0,00
2015-1-6;5;0;7,5;0,00
2015-1-6;6;0;7,2;0,00
2015-1-6;7;0;6,8;0,00
2015-1-6;8;0;6,4;0,00
